iter	Passed	Remaining
405	6075	1406
406	6089	1391
407	6103	1376
408	6117	1360
409	6129	1345
410	6142	1330
411	6155	1314
412	6169	1299
413	6184	1284
414	6198	1269
415	6211	1254
416	6225	1239
417	6238	1223
418	6252	1208
419	6266	1193
420	6279	1178
421	6295	1163
422	6312	1149
423	6327	1134
424	6341	1119
425	6355	1104
426	6369	1088
427	6383	1073
428	6398	1058
429	6411	1043
430	6423	1028
431	6435	1013
432	6448	997
433	6460	982
434	6473	967
435	6484	951
436	6496	936
437	6508	921
438	6533	907
439	6544	892
440	6555	877
441	6565	861
442	6576	846
443	6587	830
444	6598	815
445	6609	800
446	6620	784
447	6631	769
448	6642	754
449	6653	739
450	6664	724
451	6676	709
452	6688	693
453	6698	678
454	6711	663
455	6722	648
456	6733	633
457	6744	618
458	6756	603
459	6768	588
460	6780	573
461	6792	558
462	6804	543
463	6815	528
464	6827	513
465	6838	498
466	6851	484
467	6863	469
468	6875	454
469	6887	439
470	6898	424
471	6910	409
472	6922	395
473	6934	380
474	6945	365
475	6957	350
476	6970	336
477	6981	321
478	6993	306
479	7004	291
480	7016	277
481	7028	262
482	7040	247
483	7051	233
484	7064	218
485	7075	203
486	7087	189
487	7098	174
488	7110	159
489	7121	145
490	7133	130
491	7144	116
492	7155	101
493	7167	87
494	7181	72
495	7192	58
496	7204	43
497	7216	28
498	7228	14
499	7239	0
