iter	RMSE
155	0.1100038299
156	0.1098576983
157	0.1097944763
158	0.1097351237
159	0.1095966684
160	0.1094940321
161	0.1093723198
162	0.1092475187
163	0.1091153055
164	0.1089507646
165	0.1088581113
166	0.108721447
167	0.1086610177
168	0.10852201
169	0.1083501066
170	0.1080671713
171	0.1079656436
172	0.1079095585
173	0.1078183814
174	0.1077060103
175	0.1075847955
176	0.1075385314
177	0.1074450543
178	0.107330201
179	0.107231835
180	0.1071854201
181	0.107051321
182	0.1068984853
183	0.1067573625
184	0.1066565375
185	0.106558042
186	0.1063961679
187	0.106311827
188	0.1061828471
189	0.1060199487
190	0.1058970588
191	0.1058079318
192	0.105710528
193	0.1055650255
194	0.1054568727
195	0.1053092758
196	0.1052105694
197	0.1051103989
198	0.1049862289
199	0.1048536055
200	0.1047150153
201	0.1045991731
202	0.1044644885
203	0.1043769939
204	0.1042582935
205	0.1041701235
206	0.1040798675
207	0.1039283987
208	0.103847323
209	0.1037107558
210	0.1036313841
211	0.1033038773
212	0.1032528788
213	0.1031786138
214	0.1031271171
215	0.1029901218
216	0.1028946408
217	0.1027815536
218	0.1027264784
219	0.1025785381
220	0.1024805683
221	0.1023920649
222	0.102226861
223	0.1021219792
224	0.1020302647
225	0.1019262685
226	0.1018694418
227	0.101647991
228	0.1015672473
229	0.1014940266
230	0.1013857713
231	0.1012574074
232	0.1011370435
233	0.1009779301
234	0.1008787422
235	0.1008024301
236	0.1007338496
237	0.100657302
238	0.1005673713
239	0.1004907698
240	0.1004307635
241	0.1003191244
242	0.1002277817
243	0.1001386769
244	0.1000724227
245	0.09998963214
246	0.09991909774
247	0.09984165932
248	0.0997438136
249	0.09965721368
250	0.09953480494
251	0.09944575729
252	0.09936741108
253	0.09923966623
254	0.09914569319
255	0.09906774252
256	0.09899087972
257	0.09890672605
258	0.09885842372
259	0.09866396587
260	0.09855307523
261	0.09842391506
262	0.09834630733
263	0.09825609485
264	0.09813797731
265	0.09805357615
266	0.09796462642
267	0.09788285528
268	0.09774951438
269	0.09764429198
270	0.09746097334
271	0.09737398684
272	0.09729803289
273	0.09724192221
274	0.09715317879
275	0.0970159645
276	0.09692801659
277	0.09681145639
278	0.09672655338
279	0.09663912377
280	0.09658099613
281	0.09649659012
282	0.0964291186
283	0.09632488936
284	0.0962003132
285	0.09613976854
286	0.09597251944
287	0.095903181
288	0.09569312146
289	0.09562164736
290	0.09550834195
291	0.09542886801
292	0.09535661443
293	0.09526352113
294	0.09520857733
295	0.09515776156
296	0.0950828877
297	0.09501483132
298	0.09482717406
299	0.09473577778
300	0.09468321186
301	0.09459137173
302	0.09450579048
303	0.09443266948
304	0.094387217
305	0.0942761649
306	0.09422949163
307	0.09414061599
308	0.09406823199
309	0.09401121654
310	0.09393568058
311	0.0938696101
312	0.09380141229
313	0.09376176151
314	0.09369058477
315	0.09359996392
316	0.09355528523
317	0.0935127569
318	0.09344450132
319	0.09338154303
320	0.09331305075
321	0.09325295972
322	0.09320775548
323	0.09313294374
324	0.09306996015
325	0.09300974381
326	0.09296422709
327	0.092892795
328	0.09281594304
329	0.09276857325
330	0.09268643128
331	0.09262452186
332	0.0925389718
333	0.09246305845
334	0.09240339421
335	0.09231317124
336	0.09226675766
337	0.09217490345
338	0.09208527462
339	0.09197552099
340	0.09190798927
341	0.09174432211
342	0.09163564646
343	0.09147587444
344	0.09141342797
345	0.09135157086
346	0.09125473412
347	0.09115106137
348	0.09109774722
349	0.09106450394
350	0.09099594267
351	0.09086249126
352	0.09079315445
353	0.09072275125
354	0.09063427434
355	0.09057775677
356	0.09051481533
357	0.09047247382
358	0.09039115293
359	0.0903508598
360	0.09028805425
361	0.09021019643
362	0.09013952634
363	0.09009598576
364	0.09002561136
365	0.08997504509
366	0.08994518563
367	0.08988961629
368	0.08983167843
369	0.08969029156
370	0.08964189615
371	0.0895949419
372	0.08952968441
373	0.08948035789
374	0.089430582
375	0.08936910317
376	0.08932795488
377	0.08924403247
378	0.08919152783
379	0.08913568544
380	0.08910835731
381	0.08904782025
382	0.0890105658
383	0.08897008808
384	0.08893836097
385	0.08888860965
386	0.0888528373
387	0.08878299971
388	0.08871735386
389	0.08863646026
390	0.08858874507
391	0.08855301616
392	0.08848179131
393	0.08844264647
394	0.08840298985
395	0.08833859797
396	0.08830269812
397	0.08823333365
398	0.08819940468
399	0.08816100059
400	0.08804619636
401	0.08799227515
402	0.08794460005
403	0.08790115899
404	0.08786570712
405	0.08779712327
406	0.08775086375
407	0.08768974932
408	0.08765476839
409	0.08762908292
410	0.08758061478
411	0.08754773247
412	0.08748961879
413	0.08744845152
414	0.08741348824
415	0.08733850898
416	0.08727729395
417	0.08719878424
418	0.0871231706
419	0.08708337849
420	0.08704136995
421	0.08700100338
422	0.08696779566
423	0.08690349387
424	0.0868637668
425	0.08677208932
426	0.08672903817
427	0.08668601593
428	0.08664428079
429	0.0866054517
430	0.08654072411
431	0.08649297085
432	0.08643619215
433	0.08636657648
434	0.08630353565
435	0.08627213122
436	0.08620488975
437	0.08615239187
438	0.0860865665
439	0.08604685603
440	0.0860081583
441	0.08597701645
442	0.08593831945
443	0.08591920198
444	0.08585524606
445	0.08581822238
446	0.08579916817
447	0.08576647099
448	0.08568319255
449	0.08566469975
450	0.08561380937
451	0.08557241261
452	0.08552111396
453	0.08550359785
454	0.08544359887
455	0.08540873734
456	0.08536742722
457	0.08531894626
458	0.08529785163
459	0.08522779933
460	0.08511097706
461	0.08506601782
462	0.08504618485
463	0.08496951935
464	0.08492790531
465	0.08489211857
466	0.08484559505
467	0.08479253283
468	0.08473397422
469	0.08461385831
470	0.0845761984
471	0.08453919842
472	0.08448712201
473	0.08445324735
474	0.08441680856
475	0.08433532518
476	0.08422274805
477	0.0841641831
478	0.08411663729
479	0.08409343685
480	0.0840685104
481	0.08401272508
482	0.08399247207
483	0.08395696367
484	0.08390201493
485	0.08379064538
486	0.08375001765
487	0.08371474546
488	0.0836459012
489	0.08361030903
490	0.08358437231
491	0.08353705023
492	0.08349907963
493	0.08346619131
494	0.08344414445
495	0.08339901471
496	0.08337485976
497	0.0833433399
498	0.08329132723
499	0.08326260842
