iter	RMSE
0	0.7944462969
1	0.7579958851
2	0.7234776385
3	0.6922335927
4	0.6617173548
5	0.6324926739
6	0.6049402762
7	0.5777235465
8	0.5537486116
9	0.529166157
10	0.5060190859
11	0.4839455831
12	0.4632836304
13	0.4436601323
14	0.4245274091
15	0.4070400586
16	0.3901460253
17	0.3739209967
18	0.3596111964
19	0.3454854892
20	0.3318734958
21	0.3194075447
22	0.3072882475
23	0.2958456755
24	0.284900185
25	0.2747952042
26	0.2653000863
27	0.2563414914
28	0.2480112362
29	0.2401519515
30	0.2327067171
31	0.2256816268
32	0.2188997946
33	0.2125875567
34	0.2066711785
35	0.2009539867
36	0.1958211164
37	0.1909415079
38	0.1865681541
39	0.1822801917
40	0.1784118
41	0.1746896925
42	0.1712726707
43	0.1680129421
44	0.1650628986
45	0.1624389431
46	0.1600334126
47	0.1575160869
48	0.1551070122
49	0.1530185923
50	0.1509131272
51	0.1491914396
52	0.1472605932
53	0.1455960319
54	0.144180306
55	0.1427685257
56	0.1413419073
57	0.1400965192
58	0.1390787908
59	0.1379274179
60	0.1368431479
61	0.135849934
62	0.13481587
63	0.1339366034
64	0.1330372561
65	0.1322687093
66	0.1315262702
67	0.130787106
68	0.1302049213
69	0.1295569521
70	0.129107302
71	0.1287041694
72	0.1281081787
73	0.1275489583
74	0.1270102509
75	0.1265593714
76	0.1260531086
77	0.1256916701
78	0.1252475917
79	0.1248093287
80	0.1244643973
81	0.1241268535
82	0.1237954692
83	0.1233810565
84	0.1230869823
85	0.1227134056
86	0.1223797482
87	0.1221623375
88	0.1218595147
89	0.1215874019
90	0.1213492885
91	0.1211375785
92	0.1208980344
93	0.1205961632
94	0.1203787444
95	0.1200642006
96	0.1198869636
97	0.1196028623
98	0.1193393051
99	0.1191904512
100	0.1189162243
101	0.1187862924
102	0.1185833439
103	0.1183573652
104	0.1181010003
105	0.1178360012
106	0.1176516464
107	0.1174831286
108	0.1172431094
109	0.1170499933
110	0.1168823965
111	0.1167682387
112	0.1166194078
113	0.1164704011
114	0.1163007072
115	0.1161104417
116	0.1158830378
117	0.1156839445
118	0.1154322466
119	0.1153134827
120	0.1151111376
121	0.1149601425
122	0.1148145229
123	0.1146251115
124	0.1144961658
125	0.1143198951
126	0.1140377088
127	0.1139462688
128	0.113768136
129	0.1135615562
130	0.1133945672
131	0.113283621
132	0.1130896916
133	0.1127924643
134	0.1126901541
135	0.1126109334
136	0.1124739537
137	0.1123396
138	0.1121259604
139	0.1120188596
140	0.1118720861
141	0.1117488737
142	0.11161109
143	0.1115133769
144	0.1112692461
145	0.1111736842
146	0.1110451563
147	0.1109649371
148	0.1108426745
149	0.1107386502
150	0.1106127991
151	0.1104574474
152	0.1102804517
153	0.1101988249
154	0.1100829944
